,home_rank,home_weighted_points,away_rank,away_weighted_points,rank_diff,point_diff,tournament,neutral,home_team,away_team
Haiti,54.0,306.59333333333336,96.33333333333333,79.475,-42.33333333333333,227.11833333333337,1,0,101,60
Honduras,37.5,394.7683333333334,62.666666666666664,284.3066666666667,-25.166666666666664,110.4616666666667,1,0,7,61
Honduras,16.0,494.0733333333333,62.666666666666664,284.3066666666667,-46.666666666666664,209.76666666666665,1,0,86,61
Honduras,24.5,488.3666666666666,62.666666666666664,284.3066666666667,-38.166666666666664,204.05999999999995,1,0,138,61
Hong Kong,101.16666666666667,135.38333333333333,143.5,90.26,-42.33333333333333,45.12333333333332,1,0,108,62
Hungary,132.83333333333334,204.26500000000001,50.5,193.13,82.33333333333334,11.13500000000002,1,0,3,63
Hungary,3.5,708.9733333333334,50.5,193.13,-47.0,515.8433333333334,1,0,107,63
Hungary,7.0,613.3216666666666,50.5,193.13,-43.5,420.1916666666666,1,0,128,63
Iceland,16.833333333333332,477.5566666666667,20.333333333333332,519.1433333333333,-3.5,-41.586666666666645,1,0,30,64
Iceland,65.0,346.72499999999997,20.333333333333332,519.1433333333333,44.66666666666667,-172.41833333333335,1,0,45,64
Iceland,49.5,280.28333333333336,20.333333333333332,519.1433333333333,29.166666666666668,-238.85999999999996,0,1,96,64
India,93.83333333333333,228.235,99.0,202.94500000000002,-5.166666666666671,25.289999999999992,1,0,99,65
India,121.33333333333333,157.96,99.0,202.94500000000002,22.33333333333333,-44.985000000000014,1,0,137,65
Iraq,37.5,394.7683333333334,86.33333333333333,242.39000000000001,-48.83333333333333,152.37833333333336,1,0,7,66
Iraq,57.833333333333336,220.96666666666667,86.33333333333333,242.39000000000001,-28.499999999999993,-21.423333333333346,1,0,64,66
Iraq,67.0,174.54,86.33333333333333,242.39000000000001,-19.33333333333333,-67.85000000000002,1,0,112,66
Iraq,79.0,183.25,86.33333333333333,242.39000000000001,-7.333333333333329,-59.140000000000015,1,0,141,66
Israel,16.833333333333332,440.00500000000005,96.66666666666667,60.405,-79.83333333333334,379.6,1,0,62,67
Israel,7.333333333333333,608.915,96.66666666666667,60.405,-89.33333333333334,548.51,1,0,124,67
Italy,7.333333333333333,608.915,16.833333333333332,440.00500000000005,-9.5,168.9099999999999,1,0,124,68
Italy,21.0,578.8333333333334,16.833333333333332,440.00500000000005,4.166666666666668,138.82833333333332,1,0,127,68
Jamaica,25.166666666666668,395.195,51.333333333333336,367.03999999999996,-26.166666666666668,28.15500000000003,1,0,29,69
Jamaica,54.0,306.59333333333336,51.333333333333336,367.03999999999996,2.6666666666666643,-60.4466666666666,1,0,101,69
Japan,67.0,174.54,57.833333333333336,220.96666666666667,9.166666666666664,-46.42666666666668,1,0,112,70
Jordan,37.5,394.7683333333334,115.16666666666667,140.725,-77.66666666666667,254.04333333333338,1,0,7,71
Kazakhstan,94.66666666666667,166.66833333333332,126.66666666666667,73.19,-32.0,93.47833333333332,1,0,6,72
Kazakhstan,12.0,754.7800000000001,126.66666666666667,73.19,-114.66666666666667,681.5900000000001,1,0,33,72
Kazakhstan,44.166666666666664,395.24,126.66666666666667,73.19,-82.5,322.05,1,0,88,72
Kazakhstan,8.0,569.9300000000001,126.66666666666667,73.19,-118.66666666666667,496.74000000000007,1,0,106,72
Kazakhstan,34.333333333333336,384.19,126.66666666666667,73.19,-92.33333333333334,311.0,1,0,109,72
Korea DPR,117.83333333333333,138.975,114.66666666666667,124.46,3.166666666666657,14.515,1,0,105,74
Korea DPR,82.0,129.1316666666667,114.66666666666667,124.46,-32.66666666666667,4.671666666666695,1,0,143,74
Korea Republic,101.16666666666667,135.38333333333333,59.166666666666664,183.17666666666665,42.00000000000001,-47.79333333333332,1,0,108,75
Korea Republic,21.0,578.8333333333334,59.166666666666664,183.17666666666665,-38.166666666666664,395.65666666666675,0,1,127,75
